03-18 16:36:08: Training starting...
03-18 16:36:10: New best reward -5.7 (-100.0%) at episode 0, saving model...
03-18 16:36:10: New best reward -3.9 (-31.6%) at episode 12, saving model...
03-18 16:36:10: New best reward -2.7 (-30.8%) at episode 15, saving model...
03-18 16:36:10: New best reward 3.9 (-244.4%) at episode 38, saving model...
03-18 16:36:13: New best reward 4.4 (+12.8%) at episode 237, saving model...
03-18 16:36:13: New best reward 6.2 (+40.9%) at episode 238, saving model...
03-18 16:36:13: New best reward 6.3 (+1.6%) at episode 241, saving model...
03-18 16:36:14: New best reward 6.7 (+6.3%) at episode 292, saving model...
03-18 16:36:14: New best reward 8.4 (+25.4%) at episode 306, saving model...
03-18 16:36:17: New best reward 8.6 (+2.4%) at episode 497, saving model...
03-18 16:36:38: New best reward 10.6 (+23.3%) at episode 2260, saving model...
03-18 16:37:16: New best reward 12.9 (+21.7%) at episode 5429, saving model...
03-18 16:37:41: New best reward 17.9 (+38.8%) at episode 7359, saving model...
03-18 16:38:11: New best reward 20.1 (+12.3%) at episode 9636, saving model...
03-18 16:38:16: New best reward 22.6 (+12.4%) at episode 10020, saving model...
03-18 16:38:19: New best reward 41.1 (+81.9%) at episode 10149, saving model...
03-18 16:40:25: New best reward 60.2 (+46.5%) at episode 17612, saving model...
03-18 16:43:32: New best reward 64.4 (+7.0%) at episode 25936, saving model...
03-18 16:43:58: New best reward 110.9 (+72.2%) at episode 27055, saving model...
03-18 16:49:36: New best reward 127.3 (+14.8%) at episode 39514, saving model...
03-18 17:03:58: New best reward 141.8 (+11.4%) at episode 60384, saving model...
03-18 17:05:29: New best reward 158.9 (+12.1%) at episode 62312, saving model...
